comment_id,user_id,item_id,text,timestamp,is_fake_attack,attack_type,normalized_text,word_set,duplicate_count,duplicate_score,tfidf_similarity,char_similarity,jaccard_similarity,combined_similarity,near_duplicate_score,spam_score,user_comment_count,user_activity_score,unique_users_for_text,text_item_group_size,coordination_score,attack_pattern_score,base_attack_score,coordination_boost,attack_score,detected_fake,is_real_attack
C0,U104,I356,I have a different opinion about gaming. Reference 0,2026-06-21 07:41:31.776649,False,GENUINE,i have a different opinion about gaming reference 0,"{'opinion', 'i', 'have', 'reference', 'different', 'a', '0', 'gaming', 'about'}",1,0,0.7870119828754931,0.966018815914927,0.0,0.6618617203723933,20,0,6,20,1,1,0,0,6.0,0,6.0,False,False
C1,U801,I21,This is worth discussing further. Reference 1,2026-06-12 14:52:31.776838,False,GENUINE,this is worth discussing further reference 1,"{'1', 'worth', 'this', 'reference', 'further', 'discussing', 'is'}",1,0,0.7443238159205726,0.9122881928333518,0.0,0.6254286127055412,20,0,7,20,1,1,0,0,6.0,0,6.0,False,False
C2,U379,I35,This was a surprisingly interesting post. Reference 2,2026-08-10 16:20:31.776865,False,GENUINE,this was a surprisingly interesting post reference 2,"{'was', 'this', '2', 'reference', 'interesting', 'a', 'post', 'surprisingly'}",1,0,1.0000000000000002,0.9628319255053035,0.0,0.7351327702021215,30,0,7,20,1,1,0,20,10.0,0,10.0,False,False
C3,U869,I215,I think this could be improved. Reference 3,2026-07-03 08:56:31.776884,False,GENUINE,i think this could be improved reference 3,"{'could', 'think', 'i', 'improved', 'this', 'reference', '3', 'be'}",1,0,1.0000000000000004,0.9542932189096913,0.0,0.7317172875638767,30,0,5,20,1,1,0,20,10.0,0,10.0,False,False
C4,U983,I185,I think this could be improved. Reference 4,2026-07-03 04:38:31.776913,False,GENUINE,i think this could be improved reference 4,"{'could', 'think', '4', 'i', 'improved', 'this', 'reference', 'be'}",1,0,1.0000000000000004,0.9372188181892116,0.0,0.7248875272756847,30,0,7,20,1,1,0,20,10.0,0,10.0,False,False
C5,U180,I375,This was a surprisingly interesting post. Reference 5,2026-06-16 18:30:31.776931,False,GENUINE,this was a surprisingly interesting post reference 5,"{'was', 'this', 'reference', 'interesting', 'a', 'post', 'surprisingly', '5'}",1,0,1.0000000000000002,0.9490841457342658,0.0,0.7296336582937064,30,0,6,20,1,1,0,20,10.0,0,10.0,False,False
C6,U827,I470,This was a surprisingly interesting post. Reference 6,2026-06-30 12:27:31.776950,False,GENUINE,this was a surprisingly interesting post reference 6,"{'was', 'this', 'reference', '6', 'interesting', 'a', 'post', 'surprisingly'}",1,0,1.0000000000000002,0.9490841457342658,0.0,0.7296336582937064,30,0,6,20,1,1,0,20,10.0,0,10.0,False,False
C7,U446,I422,Amazing product buy now,2026-07-13 11:53:31.776966,False,GENUINE,amazing product buy now,"{'now', 'product', 'buy', 'amazing'}",69,50,1.0,1.0,1.0,1.0,50,27,6,20,68,1,65,40,47.05,0,47.05,False,False
C8,U872,I125,This is an interesting perspective on movies. Reference 8,2026-07-01 19:11:31.776984,False,GENUINE,this is an interesting perspective on movies reference 8,"{'an', 'movies', 'perspective', 'this', '8', 'reference', 'interesting', 'on', 'is'}",1,0,0.8252873658506688,0.8599556618057346,0.0,0.6328328427700279,20,0,10,40,1,1,0,0,8.0,0,8.0,False,False
C9,U249,I384,I think this could be improved. Reference 9,2026-07-12 05:06:31.777001,False,GENUINE,i think this could be improved reference 9,"{'could', 'think', 'i', 'improved', '9', 'this', 'reference', 'be'}",1,0,1.0000000000000004,0.9372188181892116,0.0,0.7248875272756847,30,0,6,20,1,1,0,20,10.0,0,10.0,False,False
