comment_id,user_id,item_id,text,timestamp,is_fake_attack,attack_type
C0,U104,I356,I have a different opinion about gaming. Reference 0,2026-06-21 07:41:31.776649,False,GENUINE
C1,U801,I21,This is worth discussing further. Reference 1,2026-06-12 14:52:31.776838,False,GENUINE
C2,U379,I35,This was a surprisingly interesting post. Reference 2,2026-08-10 16:20:31.776865,False,GENUINE
C3,U869,I215,I think this could be improved. Reference 3,2026-07-03 08:56:31.776884,False,GENUINE
C4,U983,I185,I think this could be improved. Reference 4,2026-07-03 04:38:31.776913,False,GENUINE
C5,U180,I375,This was a surprisingly interesting post. Reference 5,2026-06-16 18:30:31.776931,False,GENUINE
C6,U827,I470,This was a surprisingly interesting post. Reference 6,2026-06-30 12:27:31.776950,False,GENUINE
C7,U446,I422,Amazing product buy now,2026-07-13 11:53:31.776966,False,GENUINE
C8,U872,I125,This is an interesting perspective on movies. Reference 8,2026-07-01 19:11:31.776984,False,GENUINE
C9,U249,I384,I think this could be improved. Reference 9,2026-07-12 05:06:31.777001,False,GENUINE
C10,U29,I253,This is worth discussing further. Reference 10,2026-06-28 10:54:31.777016,False,GENUINE
C11,U217,I181,I have a different opinion about music. Reference 11,2026-07-17 09:03:31.777031,False,GENUINE
C12,U901,I305,I have a different opinion about technology. Reference 12,2026-06-25 19:23:31.777047,False,GENUINE
C13,U970,I97,This is an interesting perspective on sports. Reference 13,2026-06-07 06:57:31.777062,False,GENUINE
C14,U416,I250,This was a surprisingly interesting post. Reference 14,2026-06-09 23:19:31.777076,False,GENUINE
C15,U487,I330,Click here for amazing deals,2026-08-10 06:18:31.777090,False,GENUINE
C16,U95,I150,The explanation of fashion was very clear. Reference 16,2026-06-09 20:45:31.777105,False,GENUINE
C17,U249,I156,Thanks for sharing this information. Reference 17,2026-06-29 18:07:31.777119,False,GENUINE
C18,U566,I271,Best deal available now,2026-06-04 22:27:31.777133,False,GENUINE
C19,U563,I169,This is worth discussing further. Reference 19,2026-07-18 04:09:31.777147,False,GENUINE
C20,U313,I128,The explanation of gaming was very clear. Reference 20,2026-06-07 04:18:31.777161,False,GENUINE
C21,U197,I161,This is an interesting perspective on education. Reference 21,2026-07-25 09:33:31.777176,False,GENUINE
C22,U221,I378,I think this could be improved. Reference 22,2026-06-06 21:06:31.777190,False,GENUINE
C23,U603,I389,This was a surprisingly interesting post. Reference 23,2026-08-02 16:22:31.777204,False,GENUINE
C24,U852,I99,I have a different opinion about sports. Reference 24,2026-07-09 23:37:31.777218,False,GENUINE
C25,U183,I154,I really enjoyed this post about education. Reference 25,2026-07-17 20:44:31.777232,False,GENUINE
C26,U46,I498,I really enjoyed this post about movies. Reference 26,2026-06-09 08:27:31.777249,False,GENUINE
C27,U966,I64,I think this could be improved. Reference 27,2026-08-10 17:11:31.777266,False,GENUINE
C28,U587,I145,I think this could be improved. Reference 28,2026-07-02 17:45:31.777280,False,GENUINE
C29,U348,I94,I really enjoyed this post about movies. Reference 29,2026-06-29 08:22:31.777294,False,GENUINE
C30,U116,I420,This is an interesting perspective on fashion. Reference 30,2026-06-28 01:44:31.777309,False,GENUINE
C31,U75,I295,Click here for amazing deals,2026-07-29 06:03:31.777324,False,GENUINE
C32,U830,I288,I have a different opinion about gaming. Reference 32,2026-07-20 05:48:31.777338,False,GENUINE
C33,U121,I285,The information presented here is useful. Reference 33,2026-06-25 06:24:31.777352,False,GENUINE
C34,U389,I230,I think this could be improved. Reference 34,2026-06-19 06:19:31.777366,False,GENUINE
C35,U439,I156,Thanks for sharing this information. Reference 35,2026-06-17 08:13:31.777380,False,GENUINE
C36,U983,I378,This is an interesting perspective on sports. Reference 36,2026-06-15 21:31:31.777394,False,GENUINE
C37,U216,I135,This is an interesting perspective on education. Reference 37,2026-07-20 23:59:31.777409,False,GENUINE
C38,U177,I282,This is an interesting perspective on education. Reference 38,2026-08-11 14:08:31.777423,False,GENUINE
C39,U418,I230,Thanks for sharing this information. Reference 39,2026-07-16 07:43:31.777440,False,GENUINE
C40,U33,I118,I have a different opinion about movies. Reference 40,2026-06-08 20:17:31.777457,False,GENUINE
C41,U880,I232,This is an interesting perspective on sports. Reference 41,2026-07-18 18:03:31.777471,False,GENUINE
C42,U806,I405,Thanks for sharing this information. Reference 42,2026-07-04 03:15:31.777487,False,GENUINE
C43,U117,I278,The explanation of education was very clear. Reference 43,2026-07-18 15:42:31.777502,False,GENUINE
C44,U846,I72,This is an interesting perspective on technology. Reference 44,2026-07-27 17:31:31.777516,False,GENUINE
C45,U811,I157,Thanks for sharing this information. Reference 45,2026-07-02 20:38:31.777530,False,GENUINE
C46,U127,I239,I have a different opinion about fashion. Reference 46,2026-07-18 01:15:31.777544,False,GENUINE
C47,U512,I276,I think this could be improved. Reference 47,2026-08-04 12:15:31.777558,False,GENUINE
C48,U612,I20,The information presented here is useful. Reference 48,2026-06-17 21:09:31.777574,False,GENUINE
C49,U256,I13,This is an interesting perspective on sports. Reference 49,2026-06-11 10:57:31.777589,False,GENUINE
C50,U856,I440,Thanks for sharing this information. Reference 50,2026-06-11 15:21:31.777603,False,GENUINE
C51,U841,I137,Thanks for sharing this information. Reference 51,2026-06-03 23:53:31.777617,False,GENUINE
C52,U179,I240,This was a surprisingly interesting post. Reference 52,2026-07-17 12:20:31.777631,False,GENUINE
C53,U185,I299,The information presented here is useful. Reference 53,2026-08-03 12:39:31.777645,False,GENUINE
C54,U481,I178,The information presented here is useful. Reference 54,2026-07-13 14:37:31.777661,False,GENUINE
C55,U686,I53,I learned something useful about music here. Reference 55,2026-07-05 08:43:31.777676,False,GENUINE
